SMILES,Lab,RT
CCCCCn1nc(C(=O)NC(C(=O)OCC)C(C)(C)C)c2ccccc21,Aarhus,8.53
COc1ccc2[nH]cc(CCN(C(C)C)C(C)C)c2c1,Aarhus,4.45
C=CCCCn1nc(C(=O)NC(C(=O)OC)C(C)(C)C)c2ccccc21,Aarhus,7.97
CC=CC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,Aarhus,5.29
CC1COC(c2ccccc2)CN1,Aarhus,2.68
CCCCC(C(=O)c1ccccc1)N1CCCC1,Aarhus,4.89
CCCC(C(=O)c1ccc(OC)cc1)N1CCCC1,Aarhus,4.66
CNC1(c2ccccc2F)CCCCC1=O,Aarhus,2.97
CN(C)C1CCCCC1N(C)C(=O)Cc1ccc(Cl)cc1Cl,Aarhus,5.35
CCNC(CC)C(=O)c1ccccc1,Aarhus,3.14
CCCC(C(=O)c1ccc(Cl)cc1)N1CCCC1,Aarhus,5.08
CC(C)C(NC(=O)c1cc(-c2ccc(F)cc2)nn1CC1CCCCC1)C(N)=O,Aarhus,7.5
COc1cccc(C2(N3CCOCC3)CCCCC2)c1,Aarhus,4.72
O=C(CS(=O)C(c1ccccc1)c1ccccc1)NO,Aarhus,5.26
CNC(C)C(=O)c1cc2c(cc1OC)OCO2,Aarhus,3.01
COC(=O)C(NC(=O)c1nn(CCCCCF)c2ccccc12)C(C)C,Aarhus,7.36
COc1ccccc1C(Cc1ccccc1)N1CCCCC1,Aarhus,5.43
O=C(NC12CC3CC(CC(C3)C1)C2)c1nn(CCCCCF)c2ccccc12,Aarhus,8.46
CCOC(=O)C(NC(=O)c1cn(CCCCCF)c2ccccc12)C(C)(C)C,Aarhus,7.64
CC(C(=O)c1ccc(Cl)cc1)N1CCCC1,Aarhus,3.9
CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,Aarhus,4.95
O=C(c1ccccc1)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,Aarhus,5.47
CCN(CC)CCn1c(Cc2ccc(OC(C)C)cc2)nc2cc([N+](=O)[O-])ccc21,Aarhus,5.49
CCN(C)CCc1c[nH]c2cccc(OC(C)=O)c12,Aarhus,3.57
CCCCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,Aarhus,5.63
CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCc2ccccc2)CC1,Aarhus,5.32
C=CCCCn1nc(C(=O)NC(C(N)=O)C(C)(C)C)c2ccccc21,Aarhus,6.86
CC12CC3CC(C)(C1)CC(N)(C3)C2,Aarhus,4.8
CC(=O)Oc1cccc2[nH]cc(CCN(C)C)c12,Aarhus,3.14
CCC1CN2CCC3(O)C(=Nc4cccc(OC)c43)C2CC1C(=COC)C(=O)OC,Aarhus,4.25
CC(C)N(C(=O)c1ccc(Cl)c(Cl)c1)C1CCCCC1N(C)C,Aarhus,5.62
CCC(C(=O)c1ccc2c(c1)CCC2)N1CCCC1,Aarhus,5.16
CN(C)C1CCCCC1N(C)C(=O)c1ccc(Cl)c(Cl)c1,Aarhus,5.17
CCCCCCC(C(=O)c1ccc(OC)cc1)N1CCCC1,Aarhus,5.76
NC1Cc2cc3c(cc2C1)OCO3,Aarhus,2.29
CCC(=O)N(c1ccccc1)C1CCN(CC(O)c2ccccc2)CC1,Aarhus,4.88
CCNC(CC)C(=O)c1ccc2c(c1)OCO2,Aarhus,3.24
CC1(C)COC(c2ccccc2)CN1,Aarhus,3.22
COc1cccc(C2(CN3CCOCC3)CCCCC2)c1,Aarhus,5.08
Cc1ccc(C(=O)C(C)N(C)C)cc1,Aarhus,3.24
CC(C)(NC(=O)c1nn(CCCCCF)c2ccccc12)c1ccccc1,Aarhus,7.78
CC(C)C(NC(=O)c1nn(Cc2ccc(F)cc2)c2ccccc12)C(N)=O,Aarhus,6.51
CC1COC(c2ccccc2)C(C)N1,Aarhus,3.15
CCCC(NCC)C(=O)c1ccc2c(c1)OCO2,Aarhus,4.03
CC(C)N(C)CCc1c[nH]c2cccc(O)c12,Aarhus,2.68
NCC(CC(=O)O)c1ccccc1,Aarhus,1.71
O=C(CCc1ccccc1)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,Aarhus,5.86
CC(C)(NC(=O)c1cn(CCCCCF)c2ncccc12)c1ccccc1,Aarhus,7.03
CCCCn1cc(C(=O)NC(C)(C)c2ccccc2)c2ccccc21,Aarhus,7.68
CCN(C)CCc1c[nH]c2cccc(O)c12,Aarhus,2.35
CC(=O)N(c1ccccc1)C1CCNCC1,Aarhus,2.66
CCNC1(c2cccc(C)c2)CCCCC1=O,Aarhus,4.11
Oc1cccc(C2(N3CCCCC3)CCCCC2)c1,Aarhus,4.16
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC(F)(F)F,Aarhus,7.18
CC(C(=O)c1ccc2c(c1)OCO2)N(C)C,Aarhus,2.47
CCCCCn1c2ccccc2c2c(=O)n(C(C)(C)c3ccccc3)ccc21,Aarhus,8.05
CCCC(NC)C(=O)c1ccc(C)cc1,Aarhus,4.59
CCOc1ccc(Cc2nc3cc([N+](=O)[O-])ccc3n2CCN(CC)CC)cc1,Aarhus,5.29
CNC(C)Cc1cccc(C)c1,Aarhus,3.66
CC(c1ccc(Br)cc1)N1CCC(n2c(=O)[nH]c3ccccc32)CC1,Aarhus,5.26
C=CC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,Aarhus,5.15
COc1cc(C(=O)CN)c(OC)cc1Br,Aarhus,3.95
O=C(OCCN1CCOCC1)C1(c2ccccc2)CCCCC1,Aarhus,5.46
CC(C)OC(=O)C(c1ccccc1)C1CCCCN1,Aarhus,5.08
CC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,Aarhus,4.83
CC(C)C(NC(=O)c1cn(CCCCCF)c2ccccc12)C(N)=O,Aarhus,6.26
COc1cc(C(C)C)c(OC)cc1CCNCc1ccccc1OC,Aarhus,6.12
CCCCCC(NCC)C(=O)c1ccccc1,Aarhus,5.18
CCCOC(=O)C(c1ccccc1)C1CCCCN1,Aarhus,5.15
Cc1cccc(C2OCCNC2C)c1,Aarhus,3.6
CCC(=O)N1CCN(C(=O)c2ccccc2)CC1,Aarhus,4.54
CCCC(NC)C(=O)c1ccc2c(c1)OCO2,Aarhus,3.81
COc1cccc(C2(NC(C)C)CCCCC2=O)c1,Aarhus,4.25
Fc1cccc(C2(N3CCCCC3)CCCCC2)c1,Aarhus,4.94
CCN(CC)CC(C)(C)COC(=O)c1ccc(N)cc1,Aarhus,3.59
CCCC(NCC)C(=O)c1ccc2c(c1)CCC2,Aarhus,5.37
CCCC(=O)N(c1ccc(F)cc1)C1CCN(CCc2ccccc2)CC1,Aarhus,5.52
CCC1NCCOC1c1ccccc1,Aarhus,3.3
COC(=O)C(NC(=O)c1ccc2c(c1)c1ccccc1n2CC1CCCCC1)C(C)(C)C,Aarhus,8.71
c1ccc(CCN2CCC(Nc3ccccc3)CC2)cc1,Aarhus,5.01
CCCc1nn(C)c2c(=O)[nH]c(-c3cc(C(=O)CN4CCN(CC)CC4)ccc3OCC)nc12,Aarhus,5.04
O=C(C1CCCO1)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,Aarhus,4.93
CCCCC(NC)C(=O)c1ccc2c(c1)OCO2,Aarhus,4.59
O=C(c1cn(CCCCCF)c2ccccc12)N1CCCC1,Aarhus,6.59
CC(C)(NC(=O)c1nn(CCCCC#N)c2ccccc12)c1ccccc1,Aarhus,7.13
CCCCn1nc(C(=O)NC(C(N)=O)C(C)(C)C)c2ccccc21,Aarhus,6.75
CCNC(CC)C(=O)c1ccc2c(c1)CCC2,Aarhus,5.07
C=CCOc1c(OC)cc(CCN)cc1OC,Aarhus,3.84
CNC(C)Cc1ccc2c(c1)CCO2,Aarhus,3.1
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,Aarhus,5.89
CC(C)C(=O)N(c1ccc(F)cc1)C1CCN(CCc2ccccc2)CC1,Aarhus,5.51
O=C(c1ccccc1)C(C1CCCCC1)N1CCCC1,Aarhus,5.17
CCCCCn1nc(C(=O)Oc2cccc3ccccc23)c2ccccc21,Aarhus,8.61
CCC(=O)N(c1ccc(Cl)cc1)C1CCN(CCc2ccccc2)CC1,Aarhus,5.43
CC(C)C(=O)N(c1cccc(F)c1)C1CCN(CCc2ccccc2)CC1,Aarhus,5.46
CCNC(C)Cc1cccc(F)c1,Aarhus,3.33
CCCCC(C(=O)c1ccc(OC)c(OC)c1)N1CCCC1,Aarhus,4.92
CCCCCC(C(=O)c1ccc(F)cc1)N1CCCC1,Aarhus,5.42
O=C(c1cccc2ccccc12)c1nc2ccccc2n1CCCCCF,Aarhus,7.84
CCN(CC)CCn1c(Cc2ccc(OC)cc2)nc2cc([N+](=O)[O-])ccc21,Aarhus,5.03
CCCNC1(c2cccc(OC)c2)CCCCC1=O,Aarhus,4.32
CNC1(c2ccccc2)CCCCC1=O,Aarhus,3.01
CCCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,Aarhus,5.47
NC(=O)C(Cc1ccccc1)NC(=O)c1cn(CCCCCF)c2ccccc12,Aarhus,6.54
COCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,Aarhus,4.72
CC(C)(NC(=O)c1nn(CC2CCOCC2)c2ccccc12)c1ccccc1,Aarhus,7.32
O=C(NC12CC3CC(CC(C3)C1)C2)c1nn(CCCCF)c2ccccc12,Aarhus,8.27
CC(C)(C)C(NC(=O)c1nn(CC2CCCCC2)c2ccccc12)C(N)=O,Aarhus,7.48
CC(C)C(NC(=O)c1nn(CC2CCCCC2)c2ccccc12)C(N)=O,Aarhus,7.18
COc1ccc(C=C2CCCN=C2c2cccnc2)c(OC)c1,Aarhus,4.81
COC(=O)C(NC(=O)c1cn(Cc2ccc(F)cc2)c2ccccc12)C(C)C,Aarhus,7.18
O=C(Oc1cccc2cccnc12)c1cn(Cc2ccc(F)cc2)c2ccccc12,Aarhus,7.62
Fc1ccccc1NC1CCN(CCc2ccccc2)CC1,Aarhus,5.23
CC(C(=O)c1ccc(Cl)cc1)N(C)C,Aarhus,3.42
COC(=O)C(NC(=O)c1cn(CC2CCCCC2)c2ccccc12)C(C)(C)C,Aarhus,8.15
CCCC(=O)n1cc2c3c(cccc31)C1=CC(C(=O)N(CC)CC)CN(C)C1C2,Aarhus,5.55
CCCOc1ccc(Cc2nc3cc([N+](=O)[O-])ccc3n2CCN(CC)CC)cc1,Aarhus,5.64
CC(C)(c1ccccc1)n1ccc2c(c1=O)c1ccccc1n2CCCCCF,Aarhus,7.5
Cc1nnc2n1-c1ccc([N+](=O)[O-])cc1C(c1ccccc1)=NC2,Aarhus,5.65
COCC(=O)N(c1ccc(Cl)cc1)C1CCN(CCc2ccccc2)CC1,Aarhus,5.2
Clc1cccc(C2(N3CCCCC3)CCCCC2)c1,Aarhus,5.26
O=C(c1cccc2ccccc12)c1nn(CCCCCF)c2ccccc12,Aarhus,8.09
COc1ccccc1CNC(C)Cc1ccc2occc2c1,Aarhus,5.48
CN1C(=O)CN=C(c2ccc(Cl)cc2)c2cc(Cl)ccc21,Aarhus,7.1
CNC(C)Cc1ccc(C)s1,Aarhus,3.15
CCCCOc1ccc(Cc2nc3cc([N+](=O)[O-])ccc3n2CCN(CC)CC)cc1,Aarhus,5.82
O=C(NC12CC3CC(CC(C3)C1)C2)c1nn(CCCCCCl)c2ccccc12,Aarhus,8.87
CCCC(NCC)C(=O)c1ccc(OC)c(OC)c1,Aarhus,4.04
CCN1CCOC(O)(c2ccccc2)C1C,Aarhus,2.75
CCCC(=O)N(c1ccc(OC)cc1)C1CCN(CCc2ccccc2)CC1,Aarhus,5.52
C=C(C)C(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,Aarhus,5.21
CCCC(NC(C)C)C(=O)c1ccc(F)cc1,Aarhus,4.63
CCN(CC)C(=O)C1C=C2c3cccc4c3c(cn4C(C)=O)CC2N(C)C1,Aarhus,4.91
COC(=O)C(c1ccc(C)cc1)C1CCCCN1,Aarhus,4.8
CN1c2ccccc2C(NCCCCCCC(=O)O)c2ccc(Cl)cc2S1(=O)=O,Aarhus,5.4
CNC1Cc2ccccc2C1,Aarhus,2.36
CCc1cc2c(s1)-n1cnnc1CN=C2c1ccccc1Cl,Aarhus,6.02
